"(0, 1, 2)","[-1484.7534800710819, -893.3514688473372, -1495.6641521038064, -1667.5707923895689]"
"(1, 1, 2)","[-1060.9828802524762, -509.8564858513682, -950.2287978736915, -1483.8962404049971]"
"(0, 0, 2)","[-2671.357902339825, -1083.0261022566226, -1767.3476781493196, -2047.6233817685254]"
"(1, 0, 2)","[-1473.0745854653806, -1881.1596448729185, -1922.977599433059, -605.4527428974376]"
"(1, 2, 2)","[-1587.1393775850258, -1493.5346981192367, -959.9972151762145, -1594.4355849223557]"
"(2, 2, 1)","[-1059.0436703212029, -1356.9806721277089, -163.5353908164691, -1354.6583432944244]"
"(2, 1, 1)","[-703.9265640354567, -1279.3116510815112, -32.93186442047813, -409.7847047486687]"
"(1, 2, 1)","[-1326.1804556181487, -1078.2555988007484, -1294.5813878641968, -2346.141208677173]"
"(1, 1, 1)","[-1824.1187964109733, -279.16606516185675, -1793.3818677862428, -1037.8498363920608]"
"(0, 2, 1)","[-1997.217666990444, -1374.1433068503409, -1878.1299565865738, -1946.7114567754047]"
"(1, 0, 1)","[-1857.615237657857, -2541.3287984180656, -1960.3145647691679, -948.7706735790167]"
"(0, 1, 1)","[-2040.3762978237755, -847.2743219246557, -1843.7859721454615, -2045.4315368951397]"
"(0, 0, 1)","[-2110.13421600567, -1824.464544556754, -2118.704681657194, -2441.8736024731747]"
"(2, 0, 0)","[0.0, 0.0, 0.0, 0.0]"
"(2, 1, 2)","[-1136.8741941716155, -1499.8898078491648, -845.6600067646366, -368.3914837868592]"
"(2, 0, 1)","[-1209.2950886721937, -1315.2785519835816, -1329.1403981969834, -319.0910111865608]"
"(2, 2, 0)","[0.0, 0.0, 0.0, 0.0]"
"(0, 2, 2)","[-1903.946006320412, -1479.9193140271736, -1683.5672773576875, -1995.7035149539772]"
